VIA ONESTINGHEL,28/10/2016,,,
VIA ORFANE,04/10/2016,20:00,22:30,
VIA ORIOLA,03/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA ORIOLA,06/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA ORNE,03/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA ORNE,05/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA ORSI,28/10/2016,,,
VIA ORTIGARA,20/10/2016,,,
VIA OSS MAZZURANA,03/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA OSS MAZZURANA,05/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA PADOVA,31/10/2016,,,
VIA PALERMO,26/10/2016,,,
VIA PALESTRINA,27/10/2016,,,
VIA PALUDI,11/11/2016,,,
VIA PAPIRIA,08/11/2016,,,
VIA PARADISI,17/10/2016,,,
VIA PASCOLI,13/10/2016,,,
VIA PASUBIO,28/10/2016,,,
VIA PECORI GIRALDI,31/10/2016,,,
VIA PEDROTTI,10/10/2016,,,
VIA PERINI,19/10/2016,,,lato nord
VIA PERINI,21/10/2016,,,lato sud
VIA PETRARCA,07/10/2016,,,
VIA PIAVE,24/10/2016,,,
VIA PILATI,17/10/2016,,,
VIA POLA,10/11/2016,,,
VIA POZZO,18/10/2016,,,da Torre Vanga fino Via Dogana
VIA POZZO,04/10/2016,20:00,22:30,da Torre Vanga fino Via Orfane
VIA PRANZELORES,07/11/2016,,,
VIA PREPOSITURA,13/10/2016,,,
VIA RANZI,27/10/2016,,,
VIA RAVENNA,31/10/2016,,,
VIA REGINA PACIS,27/10/2016,,,
VIA ROCCABRUNA,05/10/2016,20:00,22:30,
VIA ROMA,04/10/2016,20:00,22:30,
VIA ROMAGNOSI,07/10/2016,,,
VIA RONCAFORT,09/11/2016,,,
VIA ROSMINI,13/10/2016,,,lato est
VIA ROSMINI,18/10/2016,,,lato ovest
VIA ROVERETI,20/10/2016,,,
VIA S. ANNA,10/11/2016,,,
VIA S. ANTONIO,28/10/2016,,,
VIA S. BERNARDINO,24/10/2016,,,
VIA S. CROCE,19/10/2016,,,
VIA S. FRANCESCO D'ASSISI,17/10/2016,,,
VIA S. GIOVANNI,04/10/2016,20:00,22:30,
VIA S. GIOVANNI BOSCO,24/10/2016,,,
VIA S. MARCO,05/10/2016,20:00,22:30,
VIA S. MARGHERITA,13/10/2016,,,
VIA S. MARTINO,12/10/2016,,,
VIA S. PIETRO,05/10/2016,20:00,22:30,
VIA S. PIO X,02/11/2016,,,
VIA S. VIGILIO,03/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA S. VIGILIO,06/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA SANSEVERINO,08/11/2016,,,
VIA SCOPOLI,10/10/2016,,,
VIA SEGANTINI,07/10/2016,,,
VIA SIMONINO,05/10/2016,20:00,22:30,
VIA SOPRASASSO,10/11/2016,,,
VIA SS. TRINITA',06/10/2016,20:00,22:30,
VIA STOPPANI,11/10/2016,,,
VIA SUFFRAGIO,03/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA SUFFRAGIO,04/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA TARAMELLI,13/10/2016,,,
VIA TOFANE,27/10/2016,,,
VIA TONALE,28/10/2016,,,
VIA TORRE D'AUGUSTO,12/10/2016,,,
VIA TORRE VANGA,18/10/2016,,,
VIA TORRE VERDE,18/10/2016,,,
VIA TRAVAI,13/10/2016,,,
VIA TRENER,07/11/2016,,,
VIA VANNETTI,07/10/2016,,,
VIA VENETO,20/10/2016,,,da Via Mattioli a Via Bezzi
VIA VENEZIA,18/10/2016,,,da piazza fino a Largo Porta Nuova
VIA VERDI,03/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA VERDI,06/10/2016,22:30,03:30,lavaggio a mano con idrante
VIA VERDI,13/10/2016,,,da Via Rosmini fino Via S. Severino
VIA VERDI,06/10/2016,20:00,22:30,zona a traffico limitato
VIA VERRUCA,08/11/2016,,,compreso Piazzale ingresso Doss Trento
VIA VICENZA,31/10/2016,,,
VIA VITTIME DELLE FOIBE,09/11/2016,,,
VIA VITTORIO VENETO,21/10/2016,,,da Via Mattioli a Via 3 Novembre
VIA VIVALDI,21/10/2016,,,
VIA VOLTA,04/11/2016,,,
VIA ZAMBRA,07/11/2016,,,
VIA ZANDONAI,21/10/2016,,,
VIA ZANELLA,13/10/2016,,,
VIA ZARA,25/10/2016,,,
VIABILITA' NUOVA,08/11/2016,,,da via Sanseverino a Via Degasperi e rotatorie
VIALE DEGLI OLMI,04/11/2016,,,
VIALE DEI TIGLI,02/11/2016,,,lato sud
VIALE DEI TIGLI,03/11/2016,,,lato nord
VIALE DELLE ROBINIE,02/11/2016,,,
VIALE ROVERETO,21/10/2016,,,
VIALE TRIESTE,25/11/2016,,,
VIALE VERONA,26/10/2016,,,fino a Via Fogazzaro
VICOLO DEI DALL'ARMI,03/10/2016,22:30,03:30,lavaggio a mano con idrante
VICOLO DEI DALL'ARMI,05/10/2016,22:30,03:30,lavaggio a mano con idrante
VICOLO DEL NUOTO,13/10/2016,,,
VICOLO DEL VO',03/10/2016,22:30,03:30,lavaggio a mano con idrante
VICOLO DEL VO',04/10/2016,22:30,03:30,lavaggio a mano con idrante
VICOLO DELL'ADIGE,03/10/2016,22:30,03:30,lavaggio a mano con idrante
VICOLO DELL'ADIGE,04/10/2016,22:30,03:30,lavaggio a mano con idrante
VICOLO GALASSO,03/10/2016,22:30,03:30,lavaggio a mano con idrante
VICOLO GALASSO,04/10/2016,22:30,03:30,lavaggio a mano con idrante
VICOLO MADRUZZO,19/10/2016,,,
