strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
2320;PIAZZA S. PELLICO;11;entrambi;;;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
20;VIA A. ABONDI;11;entrambi;da incrocio via Maccani a incrocio via Pancheri;da incrocio via Maccani a incrocio via Pancheri;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
2820;VIA SAN MARTINO;11;entrambi;;;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
3590;VIA DI CAMPOTRENTINO;11;entrambi;;;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
3660;VIA L. SENESI;11;entrambi;compreso parcheggi;compreso parcheggi;02/10/20;20.15;2.30;19.00;5.00;30/09/20;28/09/20;
1600;VIA CARD. C. MADRUZZO;14;entrambi;da incrocio Via 24 Maggio a incrocio Via A. Rosmini;da incrocio Via 24 Maggio a incrocio Via A. Rosmini;05/10/20;20.15;4.00;19.00;5.00;01/10/20;28/09/20;
2250;VIA DEI PARADISI;14;entrambi;;;05/10/20;20.15;4.00;19.00;5.00;01/10/20;28/09/20;
1400;VIA DON GIUSEPPE GRAZIOLI;14;sud;;;05/10/20;20.15;4.00;19.00;5.00;01/10/20;28/09/20;
450;VIA BRIGATA ACQUI;14;entrambi;;;05/10/20;20.15;4.00;19.00;5.00;01/10/20;28/09/20;
2445;LARGO L. PIGARELLI;14;entrambi;;;05/10/20;20.15;4.00;19.00;5.00;01/10/20;28/09/20;
1060;VIA MONS. C. ENDRICI;14;entrambi;;;05/10/20;20.15;4.00;19.00;5.00;01/10/20;28/09/20;
2450;VIA C. A. PILATI;14;entrambi;;;05/10/20;20.15;4.00;19.00;5.00;01/10/20;28/09/20;
2470;LARGO PORTA NUOVA;14;entrambi;;;05/10/20;20.15;4.00;19.00;5.00;01/10/20;28/09/20;
2750;VIA S. FRANCESCO D'ASSISI;14;entrambi;;;05/10/20;20.15;4.00;19.00;5.00;01/10/20;28/09/20;
210;VIA F. BARBACOVI;14;entrambi;;;05/10/20;20.15;4.00;19.00;5.00;01/10/20;28/09/20;
3050;LARGO N. SAURO;15;entrambi;da semaforo a via A. Manzoni;da semaforo a via A. Manzoni;06/10/20;20.15;4.00;19.00;5.00;02/10/20;28/09/20;
880;PIAZZA DANTE;15;entrambi;;;06/10/20;20.15;4.00;19.00;5.00;02/10/20;28/09/20;
1730;VIA A. MANZONI;15;entrambi;;;06/10/20;20.15;4.00;19.00;5.00;02/10/20;28/09/20;
3030;PIAZZA RAFFAELLO SANZIO;15;entrambi;da incrocio  Via A. Manzoni a incrocio Via Card. Bernardo Clesio;da incrocio  Via A. Manzoni a incrocio Via Card. Bernardo Clesio;06/10/20;20.15;4.00;19.00;5.00;02/10/20;28/09/20;
800;VIA CARD. BERNARDO CLESIO;15;entrambi;;;06/10/20;20.15;4.00;19.00;5.00;02/10/20;28/09/20;
3300;VIA TORRE VANGA;15;entrambi;;;06/10/20;20.15;4.00;19.00;5.00;02/10/20;28/09/20;
3310;VIA TORRE VERDE;15;entrambi;;;06/10/20;20.15;4.00;19.00;5.00;02/10/20;28/09/20;
3400;PIAZZA VENEZIA;15;entrambi;;;06/10/20;20.15;4.00;19.00;5.00;02/10/20;28/09/20;
3430;VIA DEI VENTUNO;15;entrambi;;;06/10/20;20.15;4.00;19.00;5.00;02/10/20;28/09/20;
2670;VIA A. ROSMINI;15;ovest;;;06/10/20;20.15;4.00;19.00;5.00;02/10/20;28/09/20;
