DATA PULIZIA,CODICE VIA,PERCORSO,Via,DIVIETO DI SOSTA INIZIO,DIVIETO DI SOSTA FINE,NOTE
02/05/2018,2090,23,Via G. Onestinghel,19:00,05:00,
02/05/2018,1370,23,Via Gocciadoro,19:00,05:00,da ponte Cavalleggeri a largo Donatori volontari sangue
02/05/2018,1380,23,Via Gorizia,19:00,05:00,bassa
02/05/2018,3770,23,Via Jedin,19:00,05:00,da via S. Severino a Via Degasperi e rotatorie
02/05/2018,2040,23,Via Nicolo' D'arco,19:00,05:00,
02/05/2018,2140,23,Via P. Orsi,19:00,05:00,
02/05/2018,2280,23,Via Pasubio,19:00,05:00,
02/05/2018,2930,23,Via Sant'antonio,19:00,05:00,
02/05/2018,3280,23,Via Tonale,19:00,05:00,
03/05/2018,3470,24,Piazza Vicenza,19:00,05:00,
03/05/2018,170,24,Via A. Apollonio,19:00,05:00,lato nord
03/05/2018,2050,24,Via A. Nicolodi,19:00,05:00,lato ovest
03/05/2018,330,24,Via Bolghera,19:00,05:00,
03/05/2018,620,24,Via Care' Alto,19:00,05:00,
03/05/2018,810,24,Via Col Di Lana,19:00,05:00,
03/05/2018,860,24,Via Coni Zugna,19:00,05:00,
03/05/2018,1310,24,Via Delle Ghiaie,19:00,05:00,compreso tratto entrata Maso Smalz
03/05/2018,2300,24,Via G. Pecori Giraldi,19:00,05:00,
03/05/2018,150,24,Via L. Anzoletti,19:00,05:00,lato ovest
03/05/2018,1960,24,Via Montello,19:00,05:00,
03/05/2018,2190,24,Via Padova,19:00,05:00,
03/05/2018,2560,24,Via Ravenna,19:00,05:00,
03/05/2018,3480,24,Via Vicenza,19:00,05:00,
03/05/2018,340,24,Viale N. Bolognini,19:00,05:00,da viale Verona al civico 14
04/05/2018,3803,25,Piazzale Europa,19:00,05:00,
04/05/2018,900,25,Via A. Degasperi,19:00,05:00,
04/05/2018,1760,25,Via A. Marighetto,19:00,05:00,
04/05/2018,1860,25,Via Gen. Giacomo Medici,19:00,05:00,
04/05/2018,1800,25,Via Marsala,19:00,05:00,
04/05/2018,2880,25,Via San Pio X,19:00,05:00,
04/05/2018,3250,25,Viale Dei Tigli ,19:00,05:00,lato sud
04/05/2018,2600,25,Viale Delle Robinie,19:00,05:00,
07/05/2018,1180,26,Via A. Frank,19:00,05:00,compresa laterale da via Frank a via Degasperi
07/05/2018,1390,26,Via A. Gramsci,19:00,05:00,
07/05/2018,770,26,Via E. Chini,19:00,05:00,
07/05/2018,1210,26,Via Gandhi,19:00,05:00,fino a via Volta
07/05/2018,1050,26,Via L. Einaudi,19:00,05:00,
07/05/2018,780,26,Via La Clarina,19:00,05:00,compresa laterale da via Clarina a via Degasperi
07/05/2018,3250,26,Viale Dei Tigli ,19:00,05:00,lato nord
07/05/2018,2700,26,Via San Bartolomeo,19:00,05:00,
08/05/2018,3525,27,Via A. Volta,19:00,05:00,
08/05/2018,3802,27,Via Bruno De Finetti,19:00,05:00,
08/05/2018,1870,27,Via C. Menguzzato,19:00,05:00,
08/05/2018,3832,27,Via V. De Riccabona,19:00,05:00,
08/05/2018,845,27,Via E. Conci,19:00,05:00,
08/05/2018,1090,27,Via E. Fermi,19:00,05:00,fino a sottopasso ferrovia
08/05/2018,2080,27,Viale Degli Olmi,19:00,05:00,
09/05/2018,2495,28,Via A. Pranzelores,19:00,05:00,
09/05/2018,3501,28,Via Centochiavi,19:00,05:00,
09/05/2018,3150,28,Via Dei Solteri,19:00,05:00,
09/05/2018,3506,28,Via G. B. Trener,19:00,05:00,
09/05/2018,1335,28,Via G. Gilli,19:00,05:00,
09/05/2018,1780,28,Via G. Marconi,19:00,05:00,
09/05/2018,775,28,Via Padre E. Chiocchetti,19:00,05:00,
09/05/2018,1415,28,Via R. Guardini,19:00,05:00,
09/05/2018,1555,28,Via R. Lunelli,19:00,05:00,compreso parcheggi
09/05/2018,3535,28,Via V. Zambra,19:00,05:00,
18/05/2018,70,,Galleria Adria,19:00,05:00,lavaggio a mano con idrante
18/05/2018,2270,,Piazza M. Pasi,19:00,05:00,lavaggio a mano con idrante
18/05/2018,930,,Via A. Diaz,19:00,05:00,lavaggio a mano con idrante
18/05/2018,3880,1,Via Caduti Di Nassiriya,19:00,05:00,
18/05/2018,400,1,Via Del Brennero,19:00,05:00,
18/05/2018,3210,,Via Del Suffragio,19:00,05:00,lavaggio a mano con idrante
18/05/2018,2130,,Via Delle Orne,19:00,05:00,lavaggio a mano con idrante
18/05/2018,1840,,Via G. Mazzini,19:00,05:00,lavaggio a mano con idrante marciapiedi
18/05/2018,3440,,Via G. Verdi,19:00,05:00,lavaggio a mano con idrante
18/05/2018,1640,,Via Malpaga,19:00,05:00,lavaggio a mano con idrante
18/05/2018,2120,,Via Oriola,19:00,05:00,lavaggio a mano con idrante
18/05/2018,2180,,Via P. Oss Mazzurana,19:00,05:00,lavaggio a mano con idrante
